id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,detailed_season,neighbourhood_group
3022564.0,,,,,Contemporary Studio in Columbia City,,,,12086787,,,,,,,,,,,,,,,,,,Columbia City,,,47.55995,-122.28322,,Entire home/apt,,,,,,,95,1,,,,,,,,,,,,,271,,685,,,,2022-09-02,,,,,,,,,,2,,,,6.8,Early Fall,Rainier Valley
67089.0,,,,,Tranquil Guesthouse Oasis with a Hot Tub,,,,210344,,,,,,,,,,,,,,,,,,Culver City,,,34.00985,-118.40798,,Entire home/apt,,,,,,,140,3,,,,,,,,,,,,,268,,684,,,,2022-07-20,,,,,,,,,,2,,,,4.81,Early Summer,Other Cities
49946715.0,,,,,S+ Location Midtown Studio Apt,,,,341752262,,,,,,,,,,,,,,,,,,Midtown,,,40.7464,-73.98701,,Entire home/apt,,,,,,,250,1,,,,,,,,,,,,,177,,680,,,,2022-09-04,,,,,,,,,,13,,,,43.68,Early Fall,Manhattan
14011625.0,,,,,Tiny House Backyard Bungalow Next to Green Lake,,,,17269911,,,,,,,,,,,,,,,,,,Green Lake,,,47.67463,-122.33147,,Entire home/apt,,,,,,,114,1,,,,,,,,,,,,,216,,679,,,,2022-09-10,,,,,,,,,,6,,,,9.05,Early Fall,Other neighborhoods
9580021.0,,,,,Sophisticated Studio with Breathtaking Views of Seattle,,,,9840816,,,,,,,,,,,,,,,,,,Broadway,,,47.62335,-122.31697,,Entire home/apt,,,,,,,111,1,,,,,,,,,,,,,267,,668,,,,2022-09-11,,,,,,,,,,4,,,,8.05,Early Fall,Capitol Hill
283017.0,,,,,Kealakekua Bay Bali Cottage -steps from Bay,,,,1474347,,,,,,,,,,,,,,,,,,South Kona,,,19.46972,-155.92125,,Entire home/apt,,,,,,,180,1,,,,,,,,,,,,,194,,668,,,,2022-09-01,,,,,,,,,,1,,,,5.12,Early Fall,Hawaii
2686374.0,,,,,Ballard Bunkhouse 2nd flr unit near ent. district.,,,,2231298,,,,,,,,,,,,,,,,,,Adams,,,47.67294,-122.38311,,Entire home/apt,,,,,,,228,1,,,,,,,,,,,,,346,,667,,,,2022-09-03,,,,,,,,,,3,,,,6.5,Early Fall,Ballard
2758420.0,,,,,"Chandy's ""Ekahi"". Just 2 miles from Kona Airport!",,,,13880880,,,,,,,,,,,,,,,,,,North Kona,,,19.73886,-156.04706,,Private room,,,,,,,85,1,,,,,,,,,,,,,28,,665,,,,2022-09-07,,,,,,,,,,2,,,,6.52,Early Fall,Hawaii
5822746.0,,,,,The House in the Clouds - Unit 1 Self Check In,,,,30220953,,,,,,,,,,,,,,,,,,Puna,,,19.43143,-155.21824,,Entire home/apt,,,,,,,137,1,,,,,,,,,,,,,305,,665,,,,2022-08-28,,,,,,,,,,2,,,,7.35,Late Summer,Hawaii
10125020.0,,,,,Historic loft in Pioneer Square,,,,40753107,,,,,,,,,,,,,,,,,,Pioneer Square,,,47.6017,-122.3332,,Entire home/apt,,,,,,,186,2,,,,,,,,,,,,,296,,661,,,,2022-09-09,,,,,,,,,,1,,,,8.08,Early Fall,Downtown
